Row,EFM_1_anchor_EX_lys__L_e_f,EFM_2_anchor_EX_lys__L_e_f,EFM_3_anchor_EX_lys__L_e_f,EFM_4_anchor_EX_lys__L_e_f,EFM_5_anchor_EX_lys__L_e_f,EFM_6_anchor_EX_lys__L_e_f,EFM_7_anchor_EX_lys__L_e_f,EFM_8_anchor_EX_lys__L_e_f,EFM_9_anchor_EX_lys__L_e_f,EFM_10_anchor_EX_lys__L_e_f,EFM_11_anchor_EX_lys__L_e_f,EFM_12_anchor_EX_lys__L_e_f,EFM_13_anchor_EX_lys__L_e_f,EFM_14_anchor_EX_lys__L_e_f,EFM_15_anchor_EX_lys__L_e_f,EFM_16_anchor_EX_arbtn_fe3_e_f,EFM_17_anchor_EX_arbtn_fe3_e_f,EFM_18_anchor_LYStex_b,EFM_19_anchor_LYStex_b,EFM_20_anchor_LYStex_b,EFM_21_anchor_LYStex_b,EFM_22_anchor_LYStex_b,EFM_23_anchor_LYStex_b,EFM_24_anchor_LYStex_b,EFM_25_anchor_LYStex_b,EFM_26_anchor_LYStex_b
Sv_inf_residual,0,5.6843418860808e-14,0,7.105427357601e-15,4.44089209850063e-14,3.37507799486048e-14,9.41469124882133e-14,1.4210854715202e-13,2.27373675443232e-13,1.4210854715202e-14,1.13686837721616e-13,5.6843418860808e-14,2.27373675443232e-13,2.8421709430404e-14,9.9475983006414e-14,1.35003119794419e-13,4.2632564145606e-14,7.105427357601e-15,7.8159700933611e-14,1.19015908239817e-13,9.2370555648813e-14,7.8159700933611e-14,1.06581410364015e-14,8.88178419700125e-14,4.2632564145606e-14,5.6843418860808e-14
CYTDK2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XPPT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HXPRT,0,0,0,0,7.69230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NDPK5_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHK3Dr_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NDPK6_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NDPK8_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OMPDC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PYNP2r_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.98757763975155,0,0,0,0,0,0,0,0,0,0
