Row,EFM_1_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_2_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_3_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_4_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_5_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_6_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_7_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_8_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_9_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_10_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_11_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_12_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_13_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_14_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_15_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_16_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_17_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_18_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_19_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_20_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_21_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_22_anchor_BIOMASS_Ec_iML1515_WT_75p37M
Sv_inf_residual,4.37966698497994e-12,2.13373763102709e-12,3.47584461213302e-12,8.19788681383216e-13,7.49622586226906e-13,1.07531865356503e-12,8.24229573481716e-13,3.290806863121e-12,2.61866917039555e-12,4.55635529306164e-13,8.20998054696515e-13,1.783018177548e-12,3.21520587931445e-13,3.24007487506606e-12,4.54747350886464e-13,9.09494701772928e-13,1.99129601696768e-12,1.74227863039556e-12,2.65658415404824e-12,5.91171556152403e-12,4.61852778244065e-13,5.6843418860808e-13
CYTDK2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.196972058618,0,0,0,0
XPPT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HXPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NDPK5_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302706725308133,0,0,0,0
SHK3Dr_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214874262824634,1.34890939751767,0,0,0
NDPK6_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NDPK8_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0293168839655952,0,0,0,0
OMPDC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PYNP2r_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5SD,0,0,0,0,0,0,0,0,0,0,0.0107399,0.356613633678146,0.356615339795735,0,0,0,0,0,0,0,0,0
CS,0,0,50.2570488093821,0.5788775822765,0.65366904127666,0.660372991695903,0,0,0,2.81656585545609,0,0,0,0,0,0,0,0,0,0,0,0
ICDHyr_f,0,0,50.2570488093821,0.5788775822765,0.65366904127666,0.660372991695903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALATA_L2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DURIPP_f,0,0,0,0,0,0,0,0,0,0,0,37.4714203670624,37.4713791592094,0,0,0,0,0,0,0,0,0
ACALD_f,0,0,0,0,0,0,0,0,0,0,647.069846998529,0,0,0,0,0,0,0,0,0,0,0
PTRCTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351.139770628186,127.786196796905,0,0,0
ACS,0.0272005002853433,0,0.209765842823428,0.223944040513421,0.223406307880725,0.225697535882671,0.225656585201016,0.22573003687535,0.224851918375435,2.77810817331241,0,0,0,0.012912720000009,1.00733369268501,0.585346918793746,0.226512053986168,0.0934807345444382,21.9486977653603,0,0,0
CYSDS,0.00688438622115854,0.0557834228053001,0,0,0,0,0,0,0,2.70955522045354,0.0002063,0.00685010033871838,0.00685013311109602,0,0,0,0.0573296978743055,0.00487649519218085,0.0120174383574223,0,0,0
MAN6PI_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPA,3.67936739060992,29.5931057982117,27.4545548736431,25.7259539924449,25.6641810381959,25.9273897667208,25.9226854872508,25.9311233737436,25.8302480118588,15.1687885780855,87.9987488691174,36.1532845796666,36.1532048569882,0.113141089999605,8.7841577276598,5.10434611719413,39.940580635102,2.45546542981793,61.8467329173928,11.8068176251654,56.5502069651377,12.698552707291
APRAUR,0.000744167778632264,0.00602990949373819,0.00573011367056096,0.00611741545103106,0.00610272636214879,0.00616531518366333,0.00616419654557804,0.006166203004006,0.00614221569151981,0.611823763493866,2.22999999999945e-05,0.000740461645920604,0.000740465188450998,2.23e-05,0.00173193910540864,0.0010064045931631,0.00619705410856565,0.000527124783255614,0.00129902508662394,0.00156969282179864,0.00168530572754828,0.00270646132808239
TRPAS2_f,0,0,0,0,0,0,0,0,0,0,323.523411736765,0,0,0,0,0,0,0,0,0,0,0
PPCK,0,5.3549246698035,2.41290461463463,3.20732251567684,3.19962111859431,3.23243604478008,3.68733668294017,3.6885369184793,5.51951070338582,0,29.4126511897059,0,0,0.0591777799998113,4.58142065594266,2.66219682721784,18.5394780607455,0,0,0,0,0
ME1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB4PS,0.00148833555726453,0.0120598189874764,0.0114602273411219,0.0122348309020621,0.0122054527242976,0.0123306303673267,0.0123283930911561,0.012332406008012,0.0122844313830396,1.22364752698773,4.4599999999989e-05,0.00148092329184121,0.001480930376902,4.46e-05,0.00346387821081727,0.00201280918632619,0.0123941082171313,0.00105424956651123,0.00259805017324787,0.00313938564359728,0.00337061145509656,0.00541292265616478
ALAR_f,0.578459217402849,0,0.427535857881743,0.22909446540549,0,0,0,0,0,0,29.3720405897059,0,0,0,0,0,0,0,0.900731179570905,246.052948888056,17.5752334520111,0.00367132085984267
RBFK,0.000372083889316133,0.00301495474686909,0.00286505683528048,0.00305870772551558,0.0030513631810744,0.00308265759183167,0.00308209827278901,0.00308310150200299,0.0030711078457599,0.00125552796382445,1.11499999999945e-05,0.000370230822960304,0.000370232594225499,1.115e-05,0.000865969552704322,0.00050320229658155,0.00309852705428303,0.000263562391627808,0.00064951254331197,0.000784846410899322,0.000842652863774143,0.0013532306640412
ALATA_L_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XYLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBK,0,0,0,0,0,0,0,0,0,1.72845432099878,0,0,0,0,0,0,0,0,0,0,0,0
GLYK,0,0,0,0,0,0,0,0,0,1.20619597596374,0,0,0,0.0003207,0.0249073036369752,0.0144732714362064,0,0,0.0186814953040491,0,0,0
PPM_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASPTA_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACP1_FMN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBFSb,0.000744167778632264,0.00602990949373819,0.00573011367056096,0.00611741545103106,0.00610272636214879,0.00616531518366333,0.00616419654557804,0.006166203004006,0.00614221569151981,0.611823763493866,2.22999999999945e-05,0.000740461645920604,0.000740465188450998,2.23e-05,0.00173193910540864,0.0010064045931631,0.00619705410856565,0.000527124783255614,0.00129902508662394,0.00156969282179864,0.00168530572754828,0.00270646132808239
NDP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDPPH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NDP7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.90663658577887,1.40333054010516
EX_pi_e_f,0,0,0,0,0,0,0,0,0,3.10754686085213,0,0,0,0,0,0,0,150.486813240477,0,249.397615861737,0,0
GLGC,0.25726681005375,2.08460460787223,1.98096196529772,2.11485635907655,2.10977818296107,2.13141581216031,2.13102908693508,2.13172274120779,2.12343006912189,0.86809905900538,87.8883854691174,0.255985560088699,0.255986784779583,0.00770935,0.59874998844314,0.347924899116676,2.14238830008375,0.182232710663303,0.449086952984943,0.542659702050821,0.582628327832929,0.935652808953002
ALATA_D2,0,0,0,0.0196689994546607,0.0196217704110345,0.0198230089089086,0.0198194122115671,0.0198258634702794,0.019748738344483,0,0,0,0,0,0,0,0,0,0,0,0,0
PYK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHCHD2,0.00037208388931613,0.0030149547468691,0.00286505683528048,0.00305870772551558,0.0030513631810744,0.00308265759183167,0.00308209827278903,0.00308310150200301,0.0030711078457599,0.00125552796382445,1.115e-05,0.0003702308229603,0.0003702325942255,1.115e-05,0.000865969552704314,0.000503202296581546,0.00309852705428263,0.000263562391627806,0.000649512543311967,0.000784846410899318,0.000842652863774139,0.00135323066404119
EX_co2_e_f,287.970986725026,282.798181068041,292.846490823433,167.974254485263,165.169724079607,165.344295298215,165.588341738921,165.967743098777,168.813271205418,0,735.302424742647,0,0,0,0,0,411.342546501241,0,0,0.31344583567127,0,0
A5PISO_f,0.0408007504280149,0.330603983969463,0.314166972166429,0.335401704089831,0.33459634020992,0.338027919699819,0.33796658773323,0.338076596540267,0.336761435660838,0.137674552912104,0.00122265,0.0405975529768979,0.040597747204467,0.00122265,0.0949576388891417,0.0551785011583343,0.339768080979251,0.0289008572308285,0.0712221086170741,0.0860621044202737,0.0924008541608477,0.148388114026006
PMDPHT,0.000744167778632264,0.00602990949373819,0.00573011367056096,0.00611741545103106,0.00610272636214879,0.00616531518366333,0.00616419654557804,0.006166203004006,0.00614221569151981,0.611823763493866,2.22999999999945e-05,0.000740461645920604,0.000740465188450998,2.23e-05,0.00173193910540864,0.0010064045931631,0.00619705410856565,0.000527124783255614,0.00129902508662394,0.00156969282179864,0.00168530572754828,0.00270646132808239
