Row,EFM_1_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_2_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_3_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_4_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_5_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_6_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_7_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_8_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_9_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_10_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_11_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_12_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_13_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_14_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_15_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_16_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_17_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_18_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_19_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_20_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_21_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_22_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_23_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_24_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_25_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_26_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_27_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_28_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_29_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_30_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_31_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_32_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_33_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_34_anchor_EX_lys__L_e_f,EFM_35_anchor_EX_lys__L_e_f,EFM_36_anchor_EX_lys__L_e_f,EFM_37_anchor_EX_lys__L_e_f,EFM_38_anchor_EX_lys__L_e_f,EFM_39_anchor_EX_lys__L_e_f,EFM_40_anchor_EX_lys__L_e_f,EFM_41_anchor_EX_lys__L_e_f,EFM_42_anchor_EX_lys__L_e_f,EFM_43_anchor_EX_lys__L_e_f,EFM_44_anchor_EX_lys__L_e_f,EFM_45_anchor_EX_lys__L_e_f,EFM_46_anchor_EX_lys__L_e_f,EFM_47_anchor_EX_lys__L_e_f,EFM_48_anchor_EX_lys__L_e_f,EFM_49_anchor_EX_arbtn_fe3_e_f,EFM_50_anchor_EX_arbtn_fe3_e_f,EFM_51_anchor_LYStex_b,EFM_52_anchor_LYStex_b,EFM_53_anchor_LYStex_b,EFM_54_anchor_LYStex_b,EFM_55_anchor_LYStex_b,EFM_56_anchor_LYStex_b,EFM_57_anchor_LYStex_b,EFM_58_anchor_LYStex_b,EFM_59_anchor_LYStex_b
Sv_inf_residual,5.47117906535277e-13,6.22613072209788e-13,9.09494701772928e-13,5.61328761250479e-13,6.52811138479592e-13,3.41548837823336e-13,2.07915499053635e-13,1.09068309939175e-12,2.19069380691383e-12,1.99507077525141e-13,2.20976752521307e-12,4.37966698497994e-12,2.13373763102709e-12,3.47584461213302e-12,8.19788681383216e-13,7.49622586226906e-13,1.07531865356503e-12,8.24229573481716e-13,3.290806863121e-12,2.61866917039555e-12,4.55635529306164e-13,8.20998054696515e-13,1.783018177548e-12,3.21520587931445e-13,3.24007487506606e-12,4.54747350886464e-13,9.09494701772928e-13,1.99129601696768e-12,1.74227863039556e-12,2.65658415404824e-12,5.91171556152403e-12,4.61852778244065e-13,5.6843418860808e-13,0,5.6843418860808e-14,0,7.105427357601e-15,4.44089209850063e-14,3.37507799486048e-14,9.41469124882133e-14,1.4210854715202e-13,2.27373675443232e-13,1.4210854715202e-14,1.13686837721616e-13,5.6843418860808e-14,2.27373675443232e-13,2.8421709430404e-14,9.9475983006414e-14,1.35003119794419e-13,4.2632564145606e-14,7.105427357601e-15,7.8159700933611e-14,1.19015908239817e-13,9.2370555648813e-14,7.8159700933611e-14,1.06581410364015e-14,8.88178419700125e-14,4.2632564145606e-14,5.6843418860808e-14
CYTDK2,0,0,0.693610613914919,0,0,0.177574064324425,0.261394460548256,0.387762285541383,2.29266063737545,0.0552051020620365,0.180859158932884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.196972058618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XPPT,0,0,0.320815767423146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HXPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NDPK5_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302706725308133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHK3Dr_f,0,0,0.00242420467056434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214874262824634,1.34890939751767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NDPK6_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NDPK8_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0293168839655952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OMPDC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PYNP2r_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107399,0.356613633678146,0.356615339795735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS,0,0,0,0,0,0,0,0,0,0,0,0,0,50.2570488093821,0.5788775822765,0.65366904127666,0.660372991695903,0,0,0,2.81656585545609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.98757763975155,0,0,0,0,0,0,0,0,0,0
ICDHyr_f,0,0,0,0,0,0,0,0,0,0,0,0,0,50.2570488093821,0.5788775822765,0.65366904127666,0.660372991695903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALATA_L2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DURIPP_f,0,0,0,243.001847901884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4714203670624,37.4713791592094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACALD_f,0,0,339.095864201519,251.428359796335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647.069846998529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69230769230769,0,0,81.8713450292397,83.3333333333334,71.4285714285714,0,5.30035335689046,0,0,64.1025641025641,0,0,0,0,0,0,0,0,0,0,0
PTRCTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351.139770628186,127.786196796905,0,0,0,0,0,0,0,7.69230769230769,0,0,35.0877192982456,0,0,0,0,0,0,6.41025641025641,2.32919254658386,0,0,0,0,0,0,10.2040816326531,0,0,0
ACS,3.45135984033491,2.43153168767632,0.0221521213786665,0,0,0,0,0,0,0,0,0.0272005002853433,0,0.209765842823428,0.223944040513421,0.223406307880725,0.225697535882671,0.225656585201016,0.22573003687535,0.224851918375435,2.77810817331241,0,0,0,0.012912720000009,1.00733369268501,0.585346918793746,0.226512053986168,0.0934807345444382,21.9486977653603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0909090909091,0,0,0,17.8571428571429,18.5185185185185,0
CYSDS,0.0156564123203847,0.0191053122205971,0.00560665273024033,0,0.00431105226792875,0.0047141939119187,17.5321603648836,0.0102942206832139,0.0608650078485831,0.00146557188426027,0.00480140582015648,0.00688438622115854,0.0557834228053001,0,0,0,0,0,0,0,2.70955522045354,0.0002063,0.00685010033871838,0.00685013311109602,0,0,0,0.0573296978743055,0.00487649519218085,0.0120174383574223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAN6PI_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPA,38.957727579643,26.1473028897488,3.66963166691206,36.7155662375996,64.3794406287828,41.6371706665141,10.5142224570579,5.22079410783028,30.8681622560396,21.8888732061996,63.8288746107131,3.67936739060992,29.5931057982117,27.4545548736431,25.7259539924449,25.6641810381959,25.9273897667208,25.9226854872508,25.9311233737436,25.8302480118588,15.1687885780855,87.9987488691174,36.1532845796666,36.1532048569882,0.113141089999605,8.7841577276598,5.10434611719413,39.940580635102,2.45546542981793,61.8467329173928,11.8068176251654,56.5502069651377,12.698552707291,0,0,0,50,7.69230769230769,3.55756791720569,0,0,41.6666666666667,0,0,0,0,0,0,0,0,50,0,20.4545454545455,0,0,0,17.8571428571429,18.5185185185185,0
APRAUR,0.00169238000360921,0.00206518886339949,0.000606051167641102,0.00782467833897952,0.000466003226247269,0.000509580825185589,0.000750118579601607,0.00111275385960093,0.00657920346593912,0.000158421003485235,0.000519007997040668,0.000744167778632264,0.00602990949373819,0.00573011367056096,0.00611741545103106,0.00610272636214879,0.00616531518366333,0.00616419654557804,0.006166203004006,0.00614221569151981,0.611823763493866,2.22999999999945e-05,0.000740461645920604,0.000740465188450998,2.23e-05,0.00173193910540864,0.0010064045931631,0.00619705410856565,0.000527124783255614,0.00129902508662394,0.00156969282179864,0.00168530572754828,0.00270646132808239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRPAS2_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323.523411736765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPCK,0,0,0,0,0,0,0,0,0,0,0,0,5.3549246698035,2.41290461463463,3.20732251567684,3.19962111859431,3.23243604478008,3.68733668294017,3.6885369184793,5.51951070338582,0,29.4126511897059,0,0,0.0591777799998113,4.58142065594266,2.66219682721784,18.5394780607455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB4PS,0.00338476000721841,0.00413037772679898,0.0012121023352822,0.015649356677959,0.000932006452494537,0.00101916165037118,0.00150023715920321,0.00222550771920186,0.0131584069318782,0.00031684200697047,0.00103801599408134,0.00148833555726453,0.0120598189874764,0.0114602273411219,0.0122348309020621,0.0122054527242976,0.0123306303673267,0.0123283930911561,0.012332406008012,0.0122844313830396,1.22364752698773,4.4599999999989e-05,0.00148092329184121,0.001480930376902,4.46e-05,0.00346387821081727,0.00201280918632619,0.0123941082171313,0.00105424956651123,0.00259805017324787,0.00313938564359728,0.00337061145509656,0.00541292265616478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALAR_f,0,0,0,0,0,0,0,0,0,0,0,0.578459217402849,0,0.427535857881743,0.22909446540549,0,0,0,0,0,0,29.3720405897059,0,0,0,0,0,0,0,0.900731179570905,246.052948888056,17.5752334520111,0.00367132085984267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBFK,0.000846190001804607,0.00103259443169975,0.000303025583820551,0.00391233916948976,0.000233001613123635,0.000254790412592795,0.000375059289800805,0.000556376929800465,0.00328960173296917,7.92105017426176e-05,0.000259503998520335,0.000372083889316133,0.00301495474686909,0.00286505683528048,0.00305870772551558,0.0030513631810744,0.00308265759183167,0.00308209827278901,0.00308310150200299,0.0030711078457599,0.00125552796382445,1.11499999999945e-05,0.000370230822960304,0.000370232594225499,1.115e-05,0.000865969552704322,0.00050320229658155,0.00309852705428303,0.000263562391627808,0.00064951254331197,0.000784846410899322,0.000842652863774143,0.0013532306640412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALATA_L_f,24.0616682026293,15.2910004056138,117.561725426333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.4117647058824,0,0,0,0,32.0855614973262,0,0,0,0,0,0,0,0,0,0,0,20.4081632653061,0,0,0,0,0,0,0
XYLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72845432099878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
