reaction_id,equation,delta_G0_prime_kJ_per_mol,status
CYTDK2,C00475 + C00044 = C00055 + C00035 + C00080,-10.361464509039251,ok
XPPT,C00119 + C00385 = C00013 + C00655,-25.135205544672772,ok
HXPRT,C00262 + C00119 = C00130 + C00013,-28.905864238894182,ok
NDPK5,C00002 + C00361 = C00008 + C00286,1.9126666282789984,ok
SHK3Dr,C02637 + C00080 + C00005 = C00006 + C00493,-9.447363560286249,ok
NDPK6,C00002 + C01346 = C00008 + C00460,-1.4813144527767577,ok
NDPK8,C00002 + C00206 = C00008 + C00131,2.371823688563609,ok
DHORTS,C00337 + C00001 = C00438 + C00080,-4.421548801023079,ok
OMPDC,C00080 + C01103 = C00011 + C00105,-26.033168766709252,ok
PYNP2r,C00009 + C00299 = C00620 + C00106,-0.13899719479366013,ok
G5SD,C03287 + C00080 + C00005 = C01165 + C00006 + C00009,-10.769585051393229,ok
CS,C00024 + C00001 + C00036 = C00158 + C00010 + C00080,-35.91715319325067,ok
ICDHyr,C00311 + C00006 = C00026 + C00011 + C00005,5.475979454693743,ok
ALATA_L2,C00041 + C00018 = C00647 + C00022,0.9859008002007528,ok
DURIPP,C00526 + C00009 = C00672 + C00106,2.47420722813132,ok
ACALD,C00084 + C00010 + C00003 = C00024 + C00080 + C00004,-17.622874712735438,ok
PTRCTA,C00026 + C00134 = C00555 + C00025,4.106607812174502,ok
ACS,C00033 + C00002 + C00010 = C00024 + C00020 + C00013,-5.402670629251745,ok
CYSDS,C00097 + C00001 = C00283 + C00014 + C00022,-4.612845864831044,ok
MAN6PI,C00275 = C05345,3.2663337606747973,ok
PPA,C00001 + C00013 = C00080 + 2 C00009,-17.017337270267333,ok
APRAUR,C01268 + C00080 + C00005 = C04454 + C00006,-28.364829509272454,ok
TRPAS2,C00001 + C00078 = C00463 + C00014 + C00022,20.531308042790002,ok
PPCK,C00002 + C00036 = C00008 + C00011 + C00074,10.332971110628932,ok
ME1,C00149 + C00003 = C00011 + C00004 + C00022,12.30785891774714,ok
DB4PS,C00199 = C15556 + C00058 + C00080,-85.33069251910442,ok
ALAR,C00041 = C00133,-0.040976487502916825,ok
RBFK,C00002 + C00255 = C00008 + C00061 + C00080,-10.040818414197815,ok
ALATA_L,C00026 + C00041 = C00025 + C00022,0.17899550387012653,ok
XYLK,C00002 + C00310 = C00008 + C00080 + C00231,-22.349808579850105,ok
RBK,C00002 + C00121 = C00008 + C00080 + C03736,-26.818724945816143,ok
GLYK,C00002 + C00116 = C00008 + C00093 + C00080,-14.220573844237208,ok
PPM,C00620 = C03736,-13.807600508337373,ok
ASPTA,C00026 + C00049 = C00025 + C00036,2.84457439331797,ok
ACP1_FMN,C00061 + C00001 = C00009 + C00255,-17.324380333706415,ok
RBFSb,2 C04332 = C04732 + C00255,-99.70234404754734,ok
NDP3,C00035 + C00001 = C00144 + C00080 + C00009,-27.00066167529593,ok
CDPPH,C00112 + C00001 = C00055 + C00080 + C00009,-28.673098899105582,ok
NDP7,C00001 + C00015 = C00080 + C00009 + C00105,-26.192232896868006,ok
FBP,C00354 + C00001 = C05345 + C00009,-8.417820085484841,ok
EX_pi_e,pi_e <=> ,,skipped (unmapped)
GLGC,C00002 + C00103 + C00080 = C00498 + C00013,-8.33278891183754,ok
ALATA_D2,C00133 + C00018 = C00647 + C00022,1.026877287703556,ok
PYK,C00008 + C00080 + C00074 = C00002 + C00022,-27.5833233583064,ok
SHCHD2,C02463 + C00003 = C00080 + C00004 + C05778,-42.79397222718467,ok
EX_co2_e,co2_e <=> ,,skipped (unmapped)
A5PISO,C00199 = C01112,-2.4480582768636623,ok
